original_url,status_code,final_url,is_404,error,checked_at
https://www.visionxbrain.com/blog/webflow-landing-page-conversion-boost-1fd55,404,https://www.visionxbrain.com/blog/webflow-landing-page-conversion-boost-1fd55,True,,2025-08-22T11:45:55.359582
https://cs.visionxbrain.com/kategorie/bezplatny-nastroj,404,https://www.visionxbrain.com/kategorie/bezplatny-nastroj,True,,2025-08-22T11:45:56.040745
https://ko.visionxbrain.com/포트폴리오/모두,404,https://www.visionxbrain.com/%ED%8F%AC%ED%8A%B8%ED%8F%B4%EB%A6%AC%EC%98%A4/%EB%AA%A8%EB%91%90,True,,2025-08-22T11:45:56.273116
https://cs.visionxbrain.com/umisteni/thajsko/web-design-sisaket,404,https://www.visionxbrain.com/umisteni/thajsko/web-design-sisaket,True,,2025-08-22T11:45:56.416626
https://ko.visionxbrain.com/서비스/웹-사이트-리노베이션,404,https://www.visionxbrain.com/%EC%84%9C%EB%B9%84%EC%8A%A4/%EC%9B%B9-%EC%82%AC%EC%9D%B4%ED%8A%B8-%EB%A6%AC%EB%85%B8%EB%B2%A0%EC%9D%B4%EC%85%98,True,,2025-08-22T11:45:56.558314
https://cs.visionxbrain.com/kategorie/qa-vs-qc,404,https://www.visionxbrain.com/kategorie/qa-vs-qc,True,,2025-08-22T11:45:56.563262
https://www.visionxbrain.com/blog/energy-utility-website-content-9d39c,404,https://www.visionxbrain.com/blog/energy-utility-website-content-9d39c,True,,2025-08-22T11:45:56.810732
https://lo.visionxbrain.com/ການບໍລິການ/ເວບໄຊທ໌ທຸລະກິດອຸດສາຫະກໍາ,404,https://www.visionxbrain.com/%E0%BA%81%E0%BA%B2%E0%BA%99%E0%BA%9A%E0%BB%8D%E0%BA%A5%E0%BA%B4%E0%BA%81%E0%BA%B2%E0%BA%99/%E0%BB%80%E0%BA%A7%E0%BA%9A%E0%BB%84%E0%BA%8A%E0%BA%97%E0%BB%8C%E0%BA%97%E0%BA%B8%E0%BA%A5%E0%BA%B0%E0%BA%81%E0%BA%B4%E0%BA%94%E0%BA%AD%E0%BA%B8%E0%BA%94%E0%BA%AA%E0%BA%B2%E0%BA%AB%E0%BA%B0%E0%BA%81%E0%BB%8D%E0%BA%B2,True,,2025-08-22T11:45:56.857792
https://da.visionxbrain.com/blog/blog-migrate-woocommerce-til-shopify-plus-guide,404,https://www.visionxbrain.com/blog/blog-migrate-woocommerce-til-shopify-plus-guide,True,,2025-08-22T11:45:57.066385
https://lo.visionxbrain.com/blog/blog-estate-instate-ຄູ່ມືແນະນໍາ,404,https://www.visionxbrain.com/blog/blog-estate-instate-%E0%BA%84%E0%BA%B9%E0%BB%88%E0%BA%A1%E0%BA%B7%E0%BB%81%E0%BA%99%E0%BA%B0%E0%BA%99%E0%BB%8D%E0%BA%B2,True,,2025-08-22T11:45:57.209184
